"Age","Sig1Mean","Sig1Med","Sig1RobMean"
"1",15,21.1720961666992,21.1720961666992,21
"2",18,18.0202885711928,18.0202885711928,18
"3",19,29.4536877465492,29.4536877465492,29.1583039957174
"4",20,69.7299621661863,69.7299621661863,69
"5",23,23.9799782246703,23.9799782246703,21.9089023002066
"6",24,39.1652985543199,39.1652985543199,38.1051177665153
"7",25,35.6760903389893,35.6760903389893,35
"8",27,13.8391826327854,13.8391826327854,13
"9",28,26.1330957681632,26.1330957681632,26
"10",29,43.5545140156941,43.5545140156941,43
"11",30,18.8050640171297,21.0868963449645,18.4661853126194
"12",31,37.3174051298811,37.3174051298811,37
"13",32,42.4848573792832,42.4848573792832,41.5692193816531
"14",33,66.2875206660234,66.2875206660234,50.0699510684802
"15",34,61.9507017060873,40.9840636269027,40.1248052954777
"16",35,26.5752300443249,26.5752300443249,12.2474487139159
"17",36,47.2430840580931,58.850097227098,57.5
"18",37,33.2006093269588,37.4621026496893,36.6606055596467
"19",38,62.0593732710875,62.0593732710875,62
"20",39,33.8532100360073,41.4191826401379,40.5585995813465
"21",40,37.8024394541089,41.2451127521832,41
"22",41,0,0,4.15764359551784e-07
"23",42,33.125542473113,21.0375116772668,21
"24",43,51.394566213654,37.6576882854286,36.6606055596467
"25",44,51.7813874802975,64.0879167680892,64
"26",45,76.7909155196094,72.8121562379426,72
"27",46,36.951288213161,31.6970456263485,31
"28",47,56.1180245018846,27.6858632320236,27.1293199325011
"29",48,52.3518636504043,62.0793308595113,62
"30",49,49.7280665901598,35.0369975049769,35
"31",50,37.8817844148319,38.0049944868989,37.5000001481789
"32",51,27.6311208127584,24.0463775755171,22.5831795812724
"33",52,78.0433517968838,57.7648960311832,57
"34",53,27.3241162540621,20.0009800402949,19.6539581190713
"35",54,40.5846210398675,36.8882715753126,35.4964786985977
"36",55,42.8395937425389,34.6356021137038,34.8251868281762
"37",56,46.0589437941831,32.108359575686,32
"38",57,34.2136710872362,32.1606757563745,33.1590829032231
"39",58,29.7588397781253,20.3408427349407,20.821754170883
"40",59,64.9734354734618,43.1682196038394,41.8330013267038
"41",60,47.3299449860687,26.5429827700109,25.6904651573303
"42",61,55.6615840896042,55.2106132954481,42.4264068711928
"43",62,81.0456905225608,50.3989305782767,50
"44",63,43.1577461687488,41.2720555427805,41
"45",64,18.0159971963479,16.925076168629,16.652032378864
"46",65,58.4564332333095,49.3627274032896,48.9080770425499
"47",66,63.5482927262323,27.9099112659702,27.6562147128731
"48",67,29.1023395853207,29.3883313448009,27.2213151776324
"49",68,59.161365213537,32.2498879626105,32
"50",69,52.8554051510165,54.540976211952,41.1217703899042
"51",70,39.0279255192415,35.3047996748795,34.6580466006199
"52",71,61.4865155578615,50.0840666397488,50
"53",72,75.677287006949,54.0685440734286,52.2494019104525
"54",73,54.32093539465,34.4939177309877,34
"55",74,44.8771593955482,30.5273797991975,30
"56",75,55.6755436879505,32.1237539497078,32.6572666652213
"57",76,44.6262250741987,44.6262250741987,38.6652298583624
"58",77,59.8685631516538,44.1459679529455,44
"59",78,83.0940717980472,61.3137881442272,60.5
"60",79,33.0650616408834,27.4425711098958,27
"61",80,60.5461087364331,57.4826834608533,55.4977477020464
"62",81,58.4631825997488,11.3807222663552,11
"63",82,97.0688341354285,44.6037148698335,44
"64",83,36.5547344172521,29.5808535864911,29
"65",84,100.789671437718,100.789671437718,90.1110426085505
"66",85,98.7330851805275,98.7330851805275,98
"67",86,54.1782478274909,54.1782478274909,43.4971263418631
"68",87,284.824516912635,284.824516912635,284
"69",90,164.093210905364,164.093210905364,164
